,original_release_date,runtime_x,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,adult,budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,runtime_y,status,title,vote_average,vote_count,drama
0,2007-01-27,90.0,Rotten,55.0,11.0,Spilled,59.0,9001.0,1,False,1500000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",18467,tt0491162,en,Spiral,2.034737,2007-01-01,90.0,Released,spiral,6.6,23.0,True
1,2018-06-22,79.0,Rotten,40.0,10.0,Upright,62.0,42.0,5,False,1500000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",18467,tt0491162,en,Spiral,2.034737,2007-01-01,90.0,Released,spiral,6.6,23.0,True
2,2009-05-08,108.0,Rotten,25.0,8.0,Spilled,40.0,7416.0,2,False,0,"[{'id': 18, 'name': 'Drama'}]",17740,tt1032819,en,Powder Blue,5.428409,2009-05-08,108.0,Released,powder blue,6.3,69.0,True
3,2007-10-26,101.0,Rotten,34.0,47.0,Spilled,58.0,10100.0,22,False,0,"[{'id': 18, 'name': 'Drama'}]",15006,tt0822849,en,Rails & Ties,7.625656,2007-09-01,101.0,Released,rails & ties,5.5,14.0,True
4,2008-09-08,96.0,Rotten,32.0,71.0,Spilled,32.0,41569.0,27,False,0,"[{'id': 18, 'name': 'Drama'}]",12410,tt0436364,en,Good,1.911874,2008-12-11,96.0,Released,good,6.3,29.0,True
5,2008-02-19,90.0,Fresh,80.0,20.0,Spilled,39.0,3952.0,8,False,700,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",14138,tt0816436,en,Black Water,7.930423,2007-06-01,90.0,Released,black water,5.9,67.0,True
6,2018-06-29,105.0,Rotten,0.0,9.0,Spilled,26.0,105.0,5,False,700,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",14138,tt0816436,en,Black Water,7.930423,2007-06-01,90.0,Released,black water,5.9,67.0,True
7,2008-10-24,92.0,Rotten,19.0,31.0,Spilled,35.0,29523.0,11,False,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",13944,tt0449487,en,Passengers,6.274736,2008-09-26,93.0,Released,passengers,5.7,214.0,True
8,2016-12-21,111.0,Rotten,31.0,281.0,Upright,63.0,55175.0,51,False,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",13944,tt0449487,en,Passengers,6.274736,2008-09-26,93.0,Released,passengers,5.7,214.0,True
9,2008-01-20,81.0,Fresh,61.0,36.0,Spilled,54.0,1775.0,17,False,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",15662,tt0414426,en,Quid Pro Quo,1.138929,2008-06-13,82.0,Released,quid pro quo,6.0,6.0,True
